"variable","importance","model"
"LotConfig",7.36855697631836,"GBMd"
"ScreenPorch",7.24462842941284,"GBMd"
"HeatingQC",6.44414186477661,"GBMd"
"Fence",6.1183762550354,"GBMd"
"BldgType",5.78798675537109,"GBMd"
"GarageCond",5.28030681610107,"GBMd"
"BsmtFinType2",4.8832631111145,"GBMd"
"LandContour",4.50543642044067,"GBMd"
"GarageQual",4.44282674789429,"GBMd"
"HouseStyle",4.19502401351929,"GBMd"
"LotShape",4.10369205474854,"GBMd"
"HalfBath",3.8510434627533,"GBMd"
"MSSubClass",3.44509744644165,"GBMd"
"Foundation",2.76652789115906,"GBMd"
"Condition2",2.56603050231934,"GBMd"
"MasVnrType",2.54148578643799,"GBMd"
"BsmtFinSF2",1.85895764827728,"GBMd"
"RoofStyle",0.95085209608078,"GBMd"
"Electrical",0.681756377220154,"GBMd"
"LowQualFinSF",0.655423700809479,"GBMd"
"RoofMatl",0.544958174228668,"GBMd"
"X3SsnPorch",0.459556519985199,"GBMd"
"BsmtHalfBath",0.415773421525955,"GBMd"
"Heating",0.367389976978302,"GBMd"
"Alley",0.297171920537949,"GBMd"
"LandSlope",0.260520607233047,"GBMd"
"MiscVal",0.11249964684248,"GBMd"
"MiscFeature",0.0622561238706112,"GBMd"
"Street",0,"GBMd"
"Utilities",0,"GBMd"
"PoolArea",0,"GBMd"
"PoolQC",0,"GBMd"
"OverallQual",0.143975266470624,"ensemble"
"GrLivArea",0.1163485635724,"ensemble"
"Neighborhood",0.0547854548509656,"ensemble"
"OverallCond",0.0408611580123481,"ensemble"
"TotalBsmtSF",0.0313478224687638,"ensemble"
"MSZoning",0.0241955073786694,"ensemble"
"GarageArea",0.0228709878338372,"ensemble"
"KitchenQual",0.0217047861621803,"ensemble"
"X1stFlrSF",0.0206209856159588,"ensemble"
"GarageCars",0.0200600272993778,"ensemble"
"BsmtFinSF1",0.0175056064314215,"ensemble"
"Functional",0.0166418958478478,"ensemble"
"YearBuilt",0.0164162777491668,"ensemble"
"X2ndFlrSF",0.015302615952523,"ensemble"
"Condition2",0.0149033797069689,"ensemble"
"SaleCondition",0.0137125554113183,"ensemble"
"CentralAir",0.0132869642931228,"ensemble"
"YearRemodAdd",0.0127012554678214,"ensemble"
"LotArea",0.012106100345041,"ensemble"
"BsmtFullBath",0.0111071427865038,"ensemble"
"FullBath",0.0108907256711408,"ensemble"
"ExterQual",0.00911957930574704,"ensemble"
"ScreenPorch",0.0089717295521432,"ensemble"
"BsmtExposure",0.00860709249379666,"ensemble"
"GarageType",0.0083546362878767,"ensemble"
"PavedDrive",0.00797096076764593,"ensemble"
"BsmtFinType1",0.00792451391898229,"ensemble"
"TotRmsAbvGrd",0.00785915181953736,"ensemble"
"LotConfig",0.00761315776347561,"ensemble"
"Exterior1st",0.00751513821064719,"ensemble"
"BsmtQual",0.00726075681931882,"ensemble"
"BsmtCond",0.00657523527918353,"ensemble"
"BsmtUnfSF",0.00655045243598681,"ensemble"
"Condition1",0.0064189492593604,"ensemble"
"EnclosedPorch",0.00586865475901295,"ensemble"
"BedroomAbvGr",0.0056676656560714,"ensemble"
"FireplaceQu",0.00555223401582671,"ensemble"
"WoodDeckSF",0.00526541297581499,"ensemble"
"GarageFinish",0.00504249432641889,"ensemble"
"BsmtFinType2",0.00486623413739062,"ensemble"
"OpenPorchSF",0.00475197100216911,"ensemble"
"Fence",0.00460292327155521,"ensemble"
"GarageYrBlt",0.00454709841438393,"ensemble"
"ExterCond",0.00441049404625945,"ensemble"
"Fireplaces",0.00435712798002561,"ensemble"
"BsmtFinSF2",0.00431842046252307,"ensemble"
"LotFrontage",0.00406113195067075,"ensemble"
"Heating",0.00385872895540867,"ensemble"
"Exterior2nd",0.00382578984478781,"ensemble"
"RoofMatl",0.00352593827000796,"ensemble"
"X3SsnPorch",0.00331465999315807,"ensemble"
"BldgType",0.00322567533944334,"ensemble"
"LandContour",0.00305629396909521,"ensemble"
"GarageCond",0.00289145155626994,"ensemble"
"MasVnrArea",0.00279795426546976,"ensemble"
"KitchenAbvGr",0.00267911112153834,"ensemble"
"MoSold",0.00264087713465214,"ensemble"
"SaleType",0.00263879403061066,"ensemble"
"GarageQual",0.00252116221308821,"ensemble"
"BsmtHalfBath",0.00190754113992702,"ensemble"
"Foundation",0.00183775889200909,"ensemble"
"HouseStyle",0.00163978896143142,"ensemble"
"HeatingQC",0.00162807931610401,"ensemble"
"HalfBath",0.00161377129405463,"ensemble"
"LandSlope",0.00146382940231246,"ensemble"
"LotShape",0.00122087587370905,"ensemble"
"MSSubClass",0.0011502542687252,"ensemble"
"MasVnrType",0.00105428503210837,"ensemble"
"Electrical",0.00086901110585947,"ensemble"
"RoofStyle",0.000867241779727778,"ensemble"
"YrSold",0.000835510167906915,"ensemble"
"LowQualFinSF",0.000756851087148409,"ensemble"
"Street",0.000484997772223601,"ensemble"
"MiscVal",0.000218036048296385,"ensemble"
"MiscFeature",0.000138439819057622,"ensemble"
"Alley",0.00013253764663794,"ensemble"
"PoolArea",9.51510840355002e-05,"ensemble"
"Utilities",4.59927953769973e-06,"ensemble"
"PoolQC",1.31486175708002e-06,"ensemble"
