"variable","importance","model"
"Land_Contour",19.0616436004639,"gbm"
"Bedroom_AbvGr",16.4658908843994,"gbm"
"BsmtFin_Type_2",14.791449546814,"gbm"
"Bsmt_Cond",13.728364944458,"gbm"
"Enclosed_Porch",13.6144781112671,"gbm"
"Lot_Config",11.4535713195801,"gbm"
"Foundation",9.71129894256592,"gbm"
"Garage_Qual",8.76355743408203,"gbm"
"TotRms_AbvGrd",8.72897529602051,"gbm"
"House_Style",8.02324104309082,"gbm"
"Garage_Finish",7.1083779335022,"gbm"
"Half_Bath",5.36161088943481,"gbm"
"Mas_Vnr_Type",4.4292140007019,"gbm"
"Fence",3.88771605491638,"gbm"
"Lot_Shape",2.86107134819031,"gbm"
"Alley",2.61863589286804,"gbm"
"Roof_Style",2.61317920684814,"gbm"
"Land_Slope",2.45756149291992,"gbm"
"Electrical",1.51391172409058,"gbm"
"Bldg_Type",1.33130466938019,"gbm"
"Misc_Val",1.29980182647705,"gbm"
"Condition_2",1.26295733451843,"gbm"
"Three_season_porch",1.22959673404694,"gbm"
"BsmtFin_SF_2",1.13094842433929,"gbm"
"Heating",0.983999192714691,"gbm"
"Roof_Matl",0.982299864292145,"gbm"
"Bsmt_Half_Bath",0.851881086826324,"gbm"
"Kitchen_AbvGr",0.350400149822235,"gbm"
"Pool_Area",0.264172583818436,"gbm"
"Misc_Feature",0.188806623220444,"gbm"
"BsmtFin_SF_1",0.0896280556917191,"gbm"
"Pool_QC",0.0838723629713058,"gbm"
"Low_Qual_Fin_SF",0.0109592173248529,"gbm"
"Street",0,"gbm"
"Utilities",0,"gbm"
"Overall_Qual",0.138962535308425,"ensemble"
"Gr_Liv_Area",0.118585164796933,"ensemble"
"Total_Bsmt_SF",0.0444393176685486,"ensemble"
"Neighborhood",0.03693043962235,"ensemble"
"Functional",0.0344272486293997,"ensemble"
"Garage_Cars",0.0299312902932615,"ensemble"
"Overall_Cond",0.0292197191689749,"ensemble"
"Year_Built",0.0281003930980482,"ensemble"
"Sale_Condition",0.0245589176391747,"ensemble"
"First_Flr_SF",0.0241376915737075,"ensemble"
"Bsmt_Unf_SF",0.0223287986684979,"ensemble"
"Garage_Area",0.0215714142751367,"ensemble"
"Full_Bath",0.0197254628298504,"ensemble"
"Second_Flr_SF",0.0195271495409839,"ensemble"
"Three_season_porch",0.0189427006279796,"ensemble"
"Lot_Area",0.0183023493916009,"ensemble"
"Screen_Porch",0.0182160662067311,"ensemble"
"Exterior_1st",0.0170362348694999,"ensemble"
"Mas_Vnr_Area",0.016999431622005,"ensemble"
"Year_Remod_Add",0.0151080137606675,"ensemble"
"Condition_1",0.015021087327225,"ensemble"
"Kitchen_Qual",0.0143616110522999,"ensemble"
"MS_SubClass",0.0128622406254251,"ensemble"
"Fireplaces",0.0118227401927865,"ensemble"
"BsmtFin_Type_1",0.0103644168489496,"ensemble"
"Sale_Type",0.00989417407982485,"ensemble"
"Bsmt_Full_Bath",0.00819904546715527,"ensemble"
"Latitude",0.0075149286842689,"ensemble"
"Wood_Deck_SF",0.00733229505288801,"ensemble"
"MS_Zoning",0.00700292417280002,"ensemble"
"Open_Porch_SF",0.00680541902922392,"ensemble"
"Enclosed_Porch",0.0061186814870871,"ensemble"
"Bsmt_Exposure",0.00602952331917495,"ensemble"
"Central_Air",0.00589876155632485,"ensemble"
"Exterior_2nd",0.00589574274760007,"ensemble"
"Fireplace_Qu",0.00533806349267518,"ensemble"
"Misc_Val",0.00530434440703691,"ensemble"
"Pool_Area",0.0051056639294019,"ensemble"
"Lot_Frontage",0.00489089091543592,"ensemble"
"Lot_Config",0.00488975571019967,"ensemble"
"Roof_Matl",0.00423163494245005,"ensemble"
"BsmtFin_Type_2",0.00421843621584994,"ensemble"
"Longitude",0.00410749954500637,"ensemble"
"Heating_QC",0.00393685226860008,"ensemble"
"Exter_Cond",0.00387109477397463,"ensemble"
"Condition_2",0.00360522389014983,"ensemble"
"Garage_Type",0.00341933647945014,"ensemble"
"Mo_Sold",0.00338697920935658,"ensemble"
"Bsmt_Qual",0.00338151977745005,"ensemble"
"Paved_Drive",0.00312837273215028,"ensemble"
"Garage_Cond",0.00291506394614993,"ensemble"
"Bsmt_Cond",0.00289069186374968,"ensemble"
"BsmtFin_SF_2",0.00281051360184912,"ensemble"
"Year_Sold",0.00275963866512652,"ensemble"
"Bsmt_Half_Bath",0.00271646991259438,"ensemble"
"Land_Contour",0.00266236588992497,"ensemble"
"Roof_Style",0.00231686866522507,"ensemble"
"Kitchen_AbvGr",0.00221731233501846,"ensemble"
"Alley",0.00211551036272484,"ensemble"
"Mas_Vnr_Type",0.00205116430899999,"ensemble"
"Foundation",0.00203290996527494,"ensemble"
"Half_Bath",0.0019484569188181,"ensemble"
"Exter_Qual",0.00191905920987478,"ensemble"
"Bedroom_AbvGr",0.00142534050634092,"ensemble"
"TotRms_AbvGrd",0.00139673054400936,"ensemble"
"Garage_Qual",0.00136808867427529,"ensemble"
"Electrical",0.00111282900357512,"ensemble"
"Fence",0.00106545314257511,"ensemble"
"Land_Slope",0.000933067840074742,"ensemble"
"Lot_Shape",0.000924861508174946,"ensemble"
"Heating",0.000746885768424743,"ensemble"
"Bldg_Type",0.000663375451975146,"ensemble"
"House_Style",0.000598640120174743,"ensemble"
"BsmtFin_SF_1",0.000530313949048924,"ensemble"
"Garage_Finish",0.000521478803874764,"ensemble"
"Pool_QC",0.000484873374700268,"ensemble"
"Low_Qual_Fin_SF",0.000254162016073336,"ensemble"
"Misc_Feature",0.000213760145674868,"ensemble"
"Street",0.000121070841525128,"ensemble"
"Utilities",9.66370392507798e-06,"ensemble"
