"variable","importance","model"
"BsmtFinType2",4.88065195083618,"gbm"
"LandContour",4.50543642044067,"gbm"
"GarageQual",4.4399094581604,"gbm"
"HouseStyle",4.18789529800415,"gbm"
"LotShape",4.101731300354,"gbm"
"HalfBath",3.8510434627533,"gbm"
"MSSubClass",3.44449830055237,"gbm"
"Foundation",2.76548051834106,"gbm"
"Condition2",2.56603050231934,"gbm"
"MasVnrType",2.53399109840393,"gbm"
"BsmtFinSF2",1.85678780078888,"gbm"
"RoofStyle",0.947670638561249,"gbm"
"Electrical",0.681756377220154,"gbm"
"LowQualFinSF",0.655423700809479,"gbm"
"RoofMatl",0.544958174228668,"gbm"
"X3SsnPorch",0.459556519985199,"gbm"
"BsmtHalfBath",0.415773421525955,"gbm"
"Heating",0.367389976978302,"gbm"
"Alley",0.297171920537949,"gbm"
"LandSlope",0.260520607233047,"gbm"
"MiscVal",0.11249964684248,"gbm"
"MiscFeature",0.0622561238706112,"gbm"
"Street",0,"gbm"
"Utilities",0,"gbm"
"PoolArea",0,"gbm"
"PoolQC",0,"gbm"
"OverallQual",0.14412878944064,"ensemble"
"GrLivArea",0.115653318946808,"ensemble"
"Neighborhood",0.0549781288388449,"ensemble"
"OverallCond",0.0403648473099593,"ensemble"
"TotalBsmtSF",0.0313782905430579,"ensemble"
"MSZoning",0.0238923100604219,"ensemble"
"GarageArea",0.0227783713438372,"ensemble"
"KitchenQual",0.0216543487533805,"ensemble"
"X1stFlrSF",0.0207296110608981,"ensemble"
"GarageCars",0.0200009308414485,"ensemble"
"BsmtFinSF1",0.0175245407613569,"ensemble"
"YearBuilt",0.0163943583571395,"ensemble"
"Functional",0.0162675233081538,"ensemble"
"X2ndFlrSF",0.015369494401033,"ensemble"
"Condition2",0.0146142114608102,"ensemble"
"SaleCondition",0.0135129222037599,"ensemble"
"CentralAir",0.0133144433799682,"ensemble"
"YearRemodAdd",0.012675780141159,"ensemble"
"LotArea",0.0120346842829889,"ensemble"
"BsmtFullBath",0.0109734264081156,"ensemble"
"FullBath",0.0108153150696579,"ensemble"
"ExterQual",0.00888365799998392,"ensemble"
"ScreenPorch",0.00882165212040867,"ensemble"
"BsmtExposure",0.00850098627426206,"ensemble"
"GarageType",0.0081281327580111,"ensemble"
"BsmtFinType1",0.00785390201712821,"ensemble"
"PavedDrive",0.00782999552206583,"ensemble"
"TotRmsAbvGrd",0.00771675569779094,"ensemble"
"LotConfig",0.00748265702472006,"ensemble"
"Exterior1st",0.00741023827790169,"ensemble"
"BsmtQual",0.00732642062116115,"ensemble"
"BsmtCond",0.00657349945580064,"ensemble"
"BsmtUnfSF",0.00640734424172117,"ensemble"
"Condition1",0.00630604203017374,"ensemble"
"FireplaceQu",0.00585444503315627,"ensemble"
"EnclosedPorch",0.00577054447391724,"ensemble"
"BedroomAbvGr",0.0055506413006169,"ensemble"
"WoodDeckSF",0.00522832965771368,"ensemble"
"GarageFinish",0.00518481754699475,"ensemble"
"BsmtFinType2",0.00477377433608674,"ensemble"
"OpenPorchSF",0.0046783704125295,"ensemble"
"GarageYrBlt",0.0045425509012242,"ensemble"
"Fence",0.00451893991082654,"ensemble"
"ExterCond",0.00438466873365261,"ensemble"
"Fireplaces",0.00435047381882448,"ensemble"
"BsmtFinSF2",0.00420781475797831,"ensemble"
"LotFrontage",0.0039978954829536,"ensemble"
"Exterior2nd",0.0038350681130362,"ensemble"
"Heating",0.00378359067763834,"ensemble"
"RoofMatl",0.0034456181395077,"ensemble"
"X3SsnPorch",0.00327339143826158,"ensemble"
"BldgType",0.00316737904096302,"ensemble"
"LandContour",0.00297543918360952,"ensemble"
"GarageCond",0.00295344676680352,"ensemble"
"MasVnrArea",0.00274234725216491,"ensemble"
"KitchenAbvGr",0.00269200609479567,"ensemble"
"MoSold",0.00259298461770893,"ensemble"
"SaleType",0.00258791793279411,"ensemble"
"GarageQual",0.00240891971689773,"ensemble"
"Foundation",0.00187037635602355,"ensemble"
"BsmtHalfBath",0.00186944285946359,"ensemble"
"HalfBath",0.00168144464783304,"ensemble"
"HeatingQC",0.00162641605100605,"ensemble"
"HouseStyle",0.00162501771868045,"ensemble"
"LandSlope",0.00142984565615837,"ensemble"
"LotShape",0.00120622816662448,"ensemble"
"MSSubClass",0.00114778743316012,"ensemble"
"MasVnrType",0.00104530765890527,"ensemble"
"RoofStyle",0.000869982226675337,"ensemble"
"Electrical",0.000848214462096038,"ensemble"
"YrSold",0.000825722820403841,"ensemble"
"LowQualFinSF",0.000743573602339869,"ensemble"
"Street",0.000424100897811812,"ensemble"
"MiscVal",0.000224354392127615,"ensemble"
"MiscFeature",0.000134054016626439,"ensemble"
"Alley",9.81016494193739e-05,"ensemble"
"PoolArea",9.46017856130023e-05,"ensemble"
"Utilities",5.02140559888362e-06,"ensemble"
"PoolQC",6.73655024451596e-07,"ensemble"
